YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F03000,공통_AI 엔지니어링팀,8100000011,2025-10-28,2025-10-28,25.10 직원구매 급여 미반영 대체,,,64500.0,S
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02700,공통_Process담당,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_Process담당||,,,-19500.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04800,공통_해외사업팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_글로벌마케팅팀||,,,-24500.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00200,공통_경영개선팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_경영개선팀||,,,-29500.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02600,공통_정보보안팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_정보보안팀||,,,-59000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04800,공통_해외사업팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_Operation팀||,,,-72000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00300,공통_총무,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_총무||,,,-87600.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F01300,공통_IT팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_Enterprise Solution팀||,,,-124300.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F03000,공통_AI 엔지니어링팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_AI Engineering팀||,,,-134000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04500,공통_통합소싱팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_통합소싱팀||,,,-139000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04800,공통_해외사업팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_해외사업담당||,,,-144150.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02300,공통_안전보건팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_안전보건팀||,,,-178500.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04200,공통_통합마케팅팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_통합마케팅담당||,,,-179000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F01800,공통_소비자전략팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_소비자전략팀||,,,-183000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00800,공통_경영관리팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_경영관리팀||,,,-185100.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00700,공통_회계팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_회계팀||,,,-186000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02400,공통_경영기획팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_경영기획||,,,-187600.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04800,공통_해외사업팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_Commercial팀||,,,-257500.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F01300,공통_IT팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_IT담당||,,,-323900.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F03300,공통_무역팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_무역팀||,,,-340200.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00600,공통_공간기획팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_공간기획팀||,,,-356000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02500,공통_자금팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_자금팀||,,,-367100.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00500,공통_HR팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_HR팀||,,,-453550.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F03900,공통_퍼포먼스마케팅팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_퍼포먼스마케팅팀||,,,-545000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04900,공통_통합인플루언서마케팅팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_통합인플루언서마케팅팀||,,,-691000.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00400,공통_법무팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_법무팀||,,,-729870.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F04400,공통_통합영업팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_통합영업팀||,,,-827900.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F00300,공통_총무,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_비서팀||,,,-838200.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F02900,공통_AX팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_AX팀||,,,-1100400.0,H
202510,직원경비,복리후생비,55010127,복리후생비_직원구매,F01300,공통_IT팀,3200006122,2025-10-01,2025-10-01,25.09월 임직원 직원구매_공통_Web Platform팀||,,,-1796000.0,H
